In-game,Name (transliteration),Language,ISO 639-3,Voice name,Female
en_au,English (Australia),Australian English,eng_AU,en-AU-Chirp3-HD-Achernar,True
cs_cz,Čeština (Česko),Czech,ces_CZ,cs-CZ-Standard-B,True
vi_vn,Tiếng Việt (Việt Nam),Vietnamese,vie_VN,vi-VN-Chirp3-HD-Achernar,True
nl_be,Vlaams (Vlaanderen),"Dutch, Flemish",nld_BE,nl-BE-Chirp3-HD-Achernar,True
es_es,Español (España),European Spanish,spa_ES,es-ES-Chirp3-HD-Achernar,True
ru_ru,Русский (Russkiy),Russian,rus_RU,ru-RU-Chirp3-HD-Aoede,True
eu_es,Euskara (Euskal Herria),Basque,eus_ES,eu-ES-Standard-B,True
kn_in,ಕನ್ನಡ (Kannađa),Kannada,kan_IN,kn-IN-Chirp3-HD-Achernar,True
th_th,ไทย (thay),Thai,tha_TH,th-TH-Chirp3-HD-Achernar,True
da_dk,Dansk (Danmark),Danish,dan_DK,da-DK-Neural2-F,True
pt_br,Português (Brasil),Brazilian Portuguese,por_BR,pt-BR-Chirp3-HD-Achernar,True
fr_fr,Français (France),European French,fra_FR,fr-FR-Chirp3-HD-Achernar,True
ko_kr,한국어 (Hangugeo),Korean,kor_KR,ko-KR-Chirp3-HD-Achernar,True
it_it,Italiano (Italia),Italian,ita_IT,it-IT-Chirp3-HD-Achernar,True
ta_in,தமிழ் (Tamił),Tamil,tam_IN,ta-IN-Chirp3-HD-Achernar,True
ms_my,Bahasa Melayu (Malaysia),Malay,zlm_MY,ms-MY-Standard-A,True
fi_fi,Suomi (Suomi),Finnish,fin_FI,fi-FI-Standard-B,True
ca_es,Català (Catalunya),Catalan,cat_ES,ca-ES-Standard-B,True
tr_tr,Türkçe (Türkiye),Turkish,tur_TR,tr-TR-Chirp3-HD-Achernar,True
fr_ca,Français (Québec),Canadian French,fra_CA,fr-CA-Chirp3-HD-Achernar,True
hi_in,हिन्दी (Hindī),Hindi,hin_IN,hi-IN-Chirp3-HD-Achernar,True
el_gr,Ελληνικά (Ελλάδα),Greek,ell_GR,el-GR-Standard-B,True
hu_hu,Magyar (Magyarország),Hungarian,hun_HU,hu-HU-Standard-B,True
sk_sk,Slovenčina (Slovensko),Slovak,slk_SK,sk-SK-Standard-B,True
id_id,Bahasa Indonesia (Indonesia),Indonesian,ind_ID,id-ID-Chirp3-HD-Achernar,True
pl_pl,Polski (Polska),Polish,pol_PL,pl-PL-Chirp3-HD-Achernar,True
ja_jp,日本語 (Nihongo),Japanese,jpn_JP,ja-JP-Chirp3-HD-Achernar,True
bg_bg,Български (България),Bulgarian,bul_BG,bg-BG-Standard-B,True
pt_pt,Português (Portugal),European Portuguese,por_PT,pt-PT-Standard-E,True
en_us,English (US),American English,eng_US,en-US-Chirp3-HD-Achernar,True
is_is,Íslenska (Ísland),Icelandic,isl_IS,is-IS-Standard-B,True
gl_es,Galego (Galicia),Galician,glg_ES,gl-ES-Standard-B,True
ro_ro,Română (România),Romanian,ron_RO,ro-RO-Standard-B,True
es_us,Español (Estados Unidos),American Spanish,spa_US,es-US-Chirp3-HD-Achernar,True
nl_nl,Nederlands (Nederland),Dutch,nld_NL,nl-NL-Chirp3-HD-Achernar,True
en_gb,English (United Kingdom),British English,eng_GB,en-GB-Chirp3-HD-Achernar,True
uk_ua,Українська (Ukrayins'ka),Ukrainian,ukr_UA,uk-UA-Chirp3-HD-Achernar,True
af_za,Afrikaans,Afrikaans (Suid-Afrika),afr_ZA,af-ZA-Standard-A,True
he_il,עברית ('Ivriyþ),Hebrew,heb_IL,he-IL-Standard-A,True
fil_ph,Filipino (Filipinas),Filipino,fil_PH,fil-ph-Neural2-A,True
sv_se,Svenska (Sverige),Swedish,swe_SE,sv-SE-Standard-A,True
de_de,Deutsch,German,deu_DE,de-DE-Chirp3-HD-Achernar,True
